Mallikarjun Kharge,Manohar Parrikar,Jarnail Singh,C. Vijayabaskar,Sarada Prasad Nayak,ZAKIR HUSSAIN,,,,CHOWDHURY SIDDIQULLAH,Satish Chandra,Pallab Sengupta,R. S. Bharathi,Dhananjay Munde,Anand Yadav,Inderjit Singh Zira,Manisha Kayande,Hazi Irfan Solanki,P. Keshav,Moon Moon Sen,G. Kishan Reddy,P. Ramachandra Reddy,,,,MITHILESH KUMAR JHA,,,,,,DR. MOHAMMED SADIQUE KP,,,,,,,,,,,,,,
Indian National Congress,Raman Singh,Amanatullah Khan,K. P. Anbazhagan,Pushpendra Singh Deo,R K ANAND,,,,TARANGA MONDAL,Bhim Rajbhar,Kshiti Goswami,S. Jagathrakshakan,Ajit Pawar,Jagadanand Singh,Ranjit Singh Talwandi,Prakash Surve,Hemraj Verma,K. Yerran Naidu,Nusrat Jahan,K. Keshava Rao,Peddireddy Ramachandra Reddy,,,,RAHUL RANJAN,,,,,,SURAJSINGH KALIYA,,,,,,,,,,,,,,
Ashok Gehlot,Devendra Fadnavis,Imran Hussain,P. Thangamani,Prasanta Nanda,,,,,HASAN NAWAJ,Himendra Gautam,Communist Party,Thangam Thennarasu,Sharad Pawar,Ramchandra Purve,Baldev Singh Mann,Vijay Shivtare,Hemvati Nandan Bahuguna,M. Venkateswara Rao,Subrata Mukherjee,Vinod Kumar Boinapally,Amjad Basha Shaik Bepari,,,,ASHOK KUMAR,,,,,,Hangkhanpau Taithul,,,,,,,,,,,,,,
Shivakumar,Jagat Prakash Nadda,Kailash Gahlot,C. Sreenivasan,Naveen Patnaik,,,,,,Chhatrapal Singh,LDF,P. Thiagarajan,Ajit Pawar,Shivanand Tiwari,Kanwar Pal Singh Gill,Hemangi Worlikar,Hridya Narayan Dixit,Devineni Nehru,Sovan Chatterjee,B. Vinod Kumar,K. Srinivasulu,,,,UPENDRA RAVIDAS,,,,,,MALVINDER SINGH BENIPAL,,,,,,,,,,,,,,
Kamal Nath,Uma Bharti,Rajendra Pal Gautam,V. M. Rajalakshmi,Prasanna Acharya,,,,,,Veer Singh,Prabodh Panda,N. K. Kanimozhi,Supriya Sule,Raghuvansh Prasad Singh,S. S. Dhindsa,Harshal Pradhan,Hukum Singh,Tummala Nageswara Rao,Madan Mitra,Naini Narasimha Reddy,Mekapati Goutham Reddy,,,,VIJAY KUMAR HANSDAK,,,,,,Dr. Bharat,,,,,,,,,,,,,,
Chennithala,Ananth Kumar,Gugan Singh,S. Gokula Indira,Arun Sahoo,,,,,,Ashok Siddharth,Satyawan,A. V. Velu,Praful Patel,Jaiprakash Narayan Yadav,Bibi Upinderjit Kaur,Trupti Sawant,Humara Bara Singh,Kodela Siva Prasada Rao,Tapas Pal,Koppula Eshwar,Kurasala Kannababu,,,,SHIBU SOREN,,,,,,Ravi Sachan,,,,,,,,,,,,,,
Digvijaya Singh,Prakash Javadekar,Raghav Chadha,S. Thenmozhi,Sashi Bhusan Behera,,,,,,Mukul Upadhyay,CPI,P. K. Sekar Babu,Chhagan Bhujbal,Akhtarul Iman,Jagir Kaur,Rajan Vichare,Indrajeet Saroj,Kodela Siva Prasada Rao,Sabyasachi Dutta,V. Srinivas Goud,Mopidevi Venkataramana Rao,,,,JAGARNATH MAHTO,,,,,,ANITA KOL,,,,,,,,,,,,,,
Anand Sharma,Piyush Goyal,N.D. Gupta,M. R. Vijayabhaskar,Atanu Sabyasachi Nayak,,,,,,Ambeth Rajan,Sitaram Yechury,R. Siva,Jayant Patil,Manoj Jha,Harinder Singh Khalsa,Yashwant Jadhav,Irfan Solanki,Thummala Nageswara Rao,Rajib Banerjee,Talasani Srinivas Yadav,Y. S. Jagan Mohan Reddy,,,,NIROOP MAHANTY,,,,,,YELLIPALEM RAMESH.REDDY,,,,,,,,,,,,,,
Salman Khurshid,Sushil Kumar Modi,Prakash Jarwal,K. A. Jayapal,Bijayshree Routray,,,,,,Usha Gautam,D. Raja,Subbulakshmi Jagadeesan,Dhananjay Munde,Misa Bharti,Parkash Singh Badal,Anil Parab,Ishaq Ahmad,TDP,Somen Mitra,E. Dayakar Rao,Y. S. Vijayamma,,,,DEBASHIS MARNDI,,,,,,BAIDYA NATH PRASAD MAHATO,,,,,,,,,,,,,,
Veerappa Moily,J.P. Nadda,Saurabh Bharadwaj,R. Kamaraj,Pratap Keshari Deb,,,,,,Virendra Kashyap,S. Sudhakar Reddy,C. V. Shanmugam,Nawab Malik,Santosh Manjhi,Sukhbir Singh Badal,Sunil Shinde,Jagat S. Verma,Telugu Desam Party,Aroop Biswas,Ajmeera Chandulal,Y. V. Subba Reddy,,,,BUDDHADEB MANDI,,,,,,PRAKASH JHA,,,,,,,,,,,,,,
Ambika Soni,Maneka Gandhi,Atishi Marlena,S. K. Selvam,Puspendra Singh Deo,,,,,,Brijesh Pathak,Brinda Karat,S. P. Velumani,Vandana Chavan,Bhai Virendra,Harsimrat Kaur Badal,Sadanand Sarvankar,Jagjivan Ram,Telugu Desam,Bratya Basu,C. Laxma Reddy,Botsa Satyanarayana,,,,MUKIM KHAN,,,,,,AVANEESH KUMAR SINGH,,,,,,,,,,,,,,
Randeep Singh Surjewala,Ravi Shankar Prasad,Raghav Chadha,N. R. Sivapathi,Arun Kumar Sahoo,,,,,,Ramprasad Jaiswal,A.B. Bardhan,V. Senthil Balaji,Sanjay Dina Patil,Shiv Chandra Ram,Manjinder Singh Sirsa,Manohar Joshi,Jamuna Prasad Nishad,Nandamuri Ramakrishna,Shashi Panja,P. Mahender Reddy,Peddireddy Ramachandra Reddy,,,,TAPAN KUMAR MAHATO,,,,,,SHAHID ALI KHAN,,,,,,,,,,,,,,
Harish Rawat,Anurag Thakur,Durgesh Pathak,K. A. Senkottaiyan,Debiprasad Mishra,,,,,,Ramji Lal Suman,Binoy Viswam,I. Periyasamy,Sunil Tatkare,Om Prakash Yadav,Balwinder Singh Bhunder,Deepak Kesarkar,Janeshwar Mishra,Nandamuri Taraka Ratna,Jyoti Priya Mallick,T. Padma Rao Goud,Dharmana Prasada Rao,,,,PARESH MARANDI,,,,,,ARJUN RAI,,,,,,,,,,,,,,
